id, studentName, marks, type
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
1, ahmed, 100, Male
